Name,Rating,Address,City,State,ZIP Code,Latitude,Longitude
Torteria Di Lorenza,3.5,CLS 303,Brasília,DF,70673-622,-15.79625,-47.92669
Pão de Açúcar,5.0,CCSW 6 L 4,Cruzeiro,DF,70680-680,-15.79625,-47.92669
Bella Gula,4.5,Clsw 301,Brasília,DF,70673-602,-15.79625,-47.92669
Cozinha e Sabor,4.0,CLSW 103 Bloco A,Sudoeste,DF,70670-521,-15.79625,-47.92669
Megamatte,5.0,CLSW 302,Brasília,DF,,-15.79625,-47.92669
Café do Ponto,4.5,"CLSW 103, Bloco B, Ed. Rhodes Center, Sudoeste",Sudoeste,DF,70670-521,-15.79625,-47.92669
Confraria Chico Mineiro,4.5,"SCLN, 104",Brasília,DF,70733-040,-15.7742267,-47.884534
Daniel Briand Patissier & Chocolatier,4.0,"CLN, 104",Brasília,DF,70733-540,-15.7742267,-47.884534
Soares e Souza Emporio,4.0,"CLN 212 BL B, 0 - Asa Norte",Brasília - Asa Norte,DF,70864-520,-15.7742267,-47.884534
Bar e Restaurante Poizé,3.0,"CLN 305, Bloco E",Brasília,DF,70737-550,-15.7742267,-47.884534
Sebinho,4.5,"CLN 406 Bloco C, 44",Brasília,DF,70847-530,-15.7742267,-47.884534
Bsb Grill,4.0,CLN 304,Brasília,DF,70736-520,-15.7742267,-47.884534
Nazo Sushi Bar,3.5,"Cln 214 Bloco d, 01",Shcn,DF,,-15.7742267,-47.884534
Pizzaria Molho de Tomate,4.0,"204 Norte, bloco D - loja 3",Brasília,DF,,-15.7742267,-47.884534
Panificadora Pepita,4.5,"CLN 103 BL D, 11",Brasília,DF,70732-540,-15.7742267,-47.884534
Martinica Café,4.5,"CLN 303, Bloco A",Brasília,DF,70735-510,-15.7742267,-47.884534
Bar Beirute,4.0,"CLN, 107",Brasília,DF,70372-510,-15.7742267,-47.884534
Velvet PUB,4.0,"Cln 102 bloco B, 28-32",Shcn,DF,70722-520,-15.7742267,-47.884534
Nossa Cozinha Bistrô,4.0,"CLN 402 BL C, 60",Brasília,DF,70834-530,-15.7742267,-47.884534
Primo Piato,4.0,"SEPN 707 Bloco D, 17",Brasília,DF,70790-075,-15.7742267,-47.884534
Spicy,3.5,CLN 209 BL A  lj 43,Brasília,DF,70854-510,-15.7742267,-47.884534
Terapia Bar,4.0,CLN 305 BL E  bl E lj 20,Brasília,DF,70737-550,-15.7742267,-47.884534
Carcassonne Pub,4.0,CLN 407,Brasília,DF,70855-050,-15.7742267,-47.884534
Cremositá - Del Gelato Italiano,5.0,"Setor Terminal Norte, Conjunto J, Asa Norte",Asa Norte,DF,70770-100,-15.7742267,-47.884534
Pastelaria Viçosa,4.0,"SHCGN, 704-705",Brasília,DF,70297-400,-15.7742267,-47.884534
Pizzaria Marinelle,4.0,"CLN 210 BL B, 0 - Asa Norte",Brasília - Asa Norte,DF,70862-520,-15.7742267,-47.884534
Pastelaria Viçosa,4.0,"SHCGN, 704-705",Brasília,DF,70297-400,-15.77162,-47.88897
Mucho Gusto Gastronomia,4.5,CLN 309 BL A  lj 20,Brasília,DF,70755-510,-15.77162,-47.88897
Confraria Chico Mineiro,4.5,"SCLN, 104",Brasília,DF,70733-040,-15.77162,-47.88897
Bar Beirute,4.0,"CLN, 107",Brasília,DF,70372-510,-15.77162,-47.88897
Martinica Café,4.5,"CLN 303, Bloco A",Brasília,DF,70735-510,-15.77162,-47.88897
McDonald's,4.0,EQN 506-507,Brasília,DF,70740-570,-15.77162,-47.88897
Soares e Souza Emporio,4.0,"CLN 212 BL B, 0 - Asa Norte",Brasília - Asa Norte,DF,70864-520,-15.77162,-47.88897
Brasil Vexado,4.0,"CLN 306 Bloco C, 28",Shcn,DF,,-15.77162,-47.88897
Daniel Briand Patissier & Chocolatier,4.0,"CLN, 104",Brasília,DF,70733-540,-15.77162,-47.88897
Xique Xique,4.0,"SCLRN 708 Bloco E, 45",Brasília,DF,70740-555,-15.77162,-47.88897
Nazo Sushi Bar,3.5,"Cln 214 Bloco d, 01",Shcn,DF,,-15.77162,-47.88897
